n_layers,learning_rates,n_epochs,losses,n_neurons,activations,Score,Accuracy,F1,Precision,Recall,train_accuracy,train_loss
2,0.05,20,crossentropy,"(27, 32, 4)","('relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
2,0.05,20,crossentropy,"(27, 64, 4)","('relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
2,0.01,20,crossentropy,"(27, 64, 4)","('relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
2,0.05,20,crossentropy,"(27, 32, 4)","('sigmoid', 'softmax')",90.1063829787234,0.8321556112757389,0.735846737781401,0.8453248790445632,0.6737405802569438,0.9269396129836798,0.200930234352295
2,0.01,20,crossentropy,"(27, 32, 4)","('sigmoid', 'softmax')",86.70212765957446,0.84461667046577,0.7515562582175879,0.8459102131293555,0.692437574117043,0.9287521660008556,0.196000982973989
2,0.05,20,crossentropy,"(27, 64, 4)","('sigmoid', 'softmax')",83.51063829787232,0.8273687409771294,0.7155751338094927,0.844308210918234,0.649448949810783,0.933501054905856,0.1831749197754942
2,0.005,20,crossentropy,"(27, 32, 4)","('relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
2,0.005,20,crossentropy,"(27, 64, 4)","('relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
2,0.005,20,crossentropy,"(27, 32, 4)","('sigmoid', 'softmax')",93.5106382978724,0.8508472000607856,0.761188544332611,0.8464527014715242,0.7068662990992083,0.925910082869924,0.2050611208196738
2,0.01,20,crossentropy,"(27, 64, 4)","('sigmoid', 'softmax')",94.2553191489362,0.8518349669478004,0.7697498016506991,0.8281508535963638,0.7277645465679353,0.9348350939264972,0.1775420659386299
2,0.005,20,crossentropy,"(27, 64, 4)","('sigmoid', 'softmax')",90.10638297872345,0.849099612491452,0.7606159554296316,0.8415300096225267,0.7077532680063385,0.9309779811059472,0.1897773973103284
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.6739609452169288,0.253049613891344,0.9100081909289476,0.2792008982211207,0.8005104149296367,0.7730887117040146
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'sigmoid', 'relu', 'softmax')",93.51063829787236,0.82698883063597,0.7282662570845637,0.8219423878565453,0.670208977338025,0.9029486612483416,0.2694826091783893
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'relu', 'relu', 'softmax')",72.2340425531914,0.8132360762859965,0.6997700865630416,0.8610423270694583,0.6203557131284343,0.919268888614992,0.2256301648672467
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",99.5744680851064,0.8455284552845529,0.7571644255054915,0.8446129885560663,0.7012020121769218,0.9242062830337788,0.2052643860811004
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",92.02127659574472,0.8466681863080313,0.7539164382132089,0.8464843750034328,0.6968845039946492,0.937358167726406,0.1692930357635371
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.7275303714740801
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.05,20,crossentropy,"(27, 32, 32, 32, 4)","('sigmoid', 'sigmoid', 'sigmoid', 'softmax')",98.72340425531917,0.8462882759668718,0.7610564434520835,0.8447132545853857,0.7074977593592053,0.9354006104678562,0.1716579553497852
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7635270831671827,0.8556402601842161
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('relu', 'sigmoid', 'relu', 'softmax')",90.531914893617,0.8352708760732467,0.7350546354665979,0.8360605876599411,0.6791797931863783,0.899983324512242,0.2782819273012036
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",95.85106382978724,0.8525947876301193,0.7684332199360138,0.8429359249211215,0.7167103077696301,0.9233145069493284,0.2068915539652377
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('sigmoid', 'relu', 'relu', 'softmax')",94.89361702127664,0.8436289035787554,0.7591917504160222,0.8218002179138931,0.7151271949211525,0.922567735106252,0.2189199050174837
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",96.59574468085113,0.8586733530886711,0.7753834400282785,0.8441216744778881,0.7288782942556103,0.9349945985920088,0.1721525033741327
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.7277942428677655
4,0.05,20,crossentropy,"(27, 32, 32, 64, 4)","('sigmoid', 'sigmoid', 'sigmoid', 'softmax')",94.46808510638306,0.8541904110629891,0.766394174195954,0.8426417750968429,0.7157710817219491,0.9373654179384748,0.166640829385158
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7981975972797204,0.762097954600193
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('relu', 'sigmoid', 'relu', 'softmax')",95.63829787234044,0.8282805257959122,0.7469459307112369,0.7932636040446738,0.7110154674517787,0.9085820760257236,0.256214583806101
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",93.51063829787236,0.8471240787174227,0.7685155105371716,0.8141311525057141,0.7377426979184171,0.9289044204542984,0.1906341499993299
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('sigmoid', 'relu', 'relu', 'softmax')",96.8085106382979,0.8428690828964365,0.7480528918474736,0.8399197676836478,0.6894757876148798,0.9226837384993511,0.2191759923080226
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",92.02127659574468,0.8415014056682623,0.7522340535980747,0.8310918960358987,0.6987801676538596,0.9367128988522916,0.1669780426538968
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.727425077298675
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.05,20,crossentropy,"(27, 32, 64, 32, 4)","('sigmoid', 'sigmoid', 'sigmoid', 'softmax')",96.8085106382979,0.8476559531950459,0.759738909271853,0.8508343764618276,0.7009415320849773,0.9377061779057038,0.1650798394754514
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.1519641364637945,0.1497178037146651,0.5001231221313174,0.3287391485380493,0.8025839755812858,0.7125756996830414
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('relu', 'sigmoid', 'relu', 'softmax')",87.97872340425526,0.8135400045589241,0.7078008120921597,0.8042413106071071,0.6528841308690441,0.9083210683912504,0.2523604406040746
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",102.02127659574472,0.8456804194210167,0.7564642382808392,0.8275745635634775,0.7085277130147385,0.9306082202904437,0.1866801310023223
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('sigmoid', 'relu', 'relu', 'softmax')",97.12765957446814,0.8453764911480891,0.7544666448533663,0.841674593318204,0.6988020077627746,0.923662517128626,0.2135927997353781
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",100.74468085106388,0.8616366537497151,0.7791332904598948,0.8417991527170068,0.7381828422485981,0.9381339404177572,0.1628850809224584
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.7168669819004659
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.7277047373316423
4,0.05,20,crossentropy,"(27, 32, 64, 64, 4)","('sigmoid', 'sigmoid', 'sigmoid', 'softmax')",91.48936170212764,0.8501633614466986,0.7622742356000873,0.8556466077853244,0.7027808804028476,0.9374089192108868,0.1674683984570818
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7981323453711021,0.7346051523540493
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('relu', 'sigmoid', 'relu', 'softmax')",89.57446808510637,0.8381581946660588,0.741796892315353,0.8199587649468677,0.6903432761389856,0.9083283186033192,0.2528813157750122
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",98.29787234042551,0.8502393435149305,0.7639769951378026,0.8344339027476807,0.7151922576994724,0.929984702052535,0.1895639521976157
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('sigmoid', 'relu', 'relu', 'softmax')",90.74468085106382,0.8016108198465163,0.6959062587862429,0.8284173313915887,0.6330602348454453,0.9283751549732828,0.1999866329008076
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",98.936170212766,0.857989514474584,0.7769328827593293,0.8433125246341632,0.7297494011490888,0.9405482610366354,0.1578679531444148
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.7275930089398961
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.05,20,crossentropy,"(27, 64, 32, 32, 4)","('sigmoid', 'sigmoid', 'sigmoid', 'softmax')",96.9148936170213,0.8634602233872806,0.7835434647684871,0.8565505716504227,0.7327569134004248,0.9446156300071776,0.1483810179804163
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7870395209059865,0.8088279913966058
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('relu', 'sigmoid', 'relu', 'softmax')",93.61702127659576,0.8289643644099992,0.7202617330808618,0.797950085269669,0.677550768347976,0.9091983440515636,0.2503632976734611
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('relu', 'sigmoid', 'sigmoid', 'softmax')",90.63829787234044,0.8456044373527848,0.7620972544646234,0.8215642352727268,0.7221548671529894,0.9299194501439167,0.1904701682813803
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('sigmoid', 'relu', 'relu', 'softmax')",88.5106382978723,0.8438568497834511,0.7469877373891237,0.8451216875689119,0.6868240393581716,0.9257288275682064,0.2065130773595975
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('sigmoid', 'sigmoid', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,0.7273973704222879
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('sigmoid', 'relu', 'sigmoid', 'softmax')",97.12765957446813,0.8538105007218296,0.7640692966186502,0.8242887204039386,0.7261724564052922,0.9403307546745744,0.1576750210197239
4,0.05,20,crossentropy,"(27, 64, 32, 64, 4)","('sigmoid', 'sigmoid', 'sigmoid', 'softmax')",95.63829787234044,0.8500873793784667,0.7638149101457986,0.8520090876953217,0.7075260391391294,0.9436586020141088,0.1484152433115238
4,0.05,20,crossentropy,"(27, 64, 64, 32, 4)","('relu', 'relu', 'relu', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7987703640331479,
4,0.05,20,crossentropy,"(27, 64, 64, 32, 4)","('relu', 'relu', 'sigmoid', 'softmax')",0.0,0.6647671149608693,0.1996576905522592,0.9161917787402172,0.25,0.7929556939540482,0.7935515129478887
4,0.05,20,crossentropy,"(27, 64, 64, 32, 4)","('relu', 'sigmoid', 'relu', 'softmax')",101.38297872340428,0.832915431958058,0.7437866869563186,0.8244017532150159,0.692078561554414,0.913287463658312,0.2433507651367121
